SCORPIO;;;;;;;;
Antares;a Sco;16;30;21,7;-26;27;44,8;1,1
Acrab;b Sco;16;6;20,6;-19;50;41;2,6
Dschubba;d Sco;16;1;15,4;-22;39;44,9;2,3
;p Sco;15;59;49,8;-26;9;18,2;2,9
Alniyat;t Sco;16;36;51,1;-28;14;38,4;2,8
;Ž Sco;16;51;10,9;-34;18;55,9;2,3
;m Sco;16;53;23,3;-38;2;19,3;3,6
;e Sco;17;13;15,8;-43;15;9,3;3,3
Girtab;th Sco;17;38;25,6;-43;0;6,6;1,9
Shaula;l Sco;17;33;36,5;-37;6;13,8;1,6
SAGITARIO;;;;;;;;
Rukbat;a Sgr;19;24;56;-40;34;53,1;3,96
Kaus Australis;Ž Sgr;18;25;11,3;-34;22;19,1;1,8
Kaus Meridionalis;d Sgr;18;21;58,4;-29;49;1,5;2,7
Kaus Borealis;l Sgr;18;28;54,9;-25;24;30,8;2,8
Nunki;s Sgr;18;56;12,6;-26;16;12,9;2,1
Ascella;z Sgr;19;3;34,8;-29;51;14,4;2,6
Nash;g Sgr;18;6;47,7;-30;25;7,2;3,6
AGUILA;;;;;0;;
Alshain;b Aql;19;55;18,77;6;24;28,6
Altair;a Aql;19;50;46,68;8;52;2,6
Tarazed;g Aql;19;46;15,57;10;36;47,8
;d Aql;19;25;29,75;3;6;52,5
;e Aql;19;52;28,36;1;0;20,4
;th Aql;20;11;18,26;0;49;17,3
;z Aql;19;5;24,61;13;51;49,4
;é Aql;18;59;37,39;15;4;6,5
;l Aql;19;6;14,95;-4;52;56,4
CISNE;;;;;0;;
Deneb;a Cyg;20;41;25,91;45;16;49,2
Sadr;g Cyg;20;22;13,7;40;15;24,1
;d Cyg;19;44;58,44;45;7;50,5
;i Cyg;19;29;42,34;51;43;46,1
;k Cyg;19;17;6,11;53;22;5,4
Hgienah;é Cyg;20;46;12,43;33;58;10
;z Cyg;21;12;56,18;30;13;37,5
;m Cyg;21;44;8,4;28;44;35,6
;e Cyg;19;56;18,4;35;5;0,6
Albireo;b Cyg;19;30;43,29;27;57;34,9
LIRA;;;;;0;;
Vega;a Lyr;18;36;56,19;38;46;58,8
;z Lyr;18;44;46,34;37;36;18,2
Sheliak;b Lyr;18;50;4,79;33;21;45,6
Sulafat;g Lyr;18;58;56,62;32;41;22,4
;d Lyr;18;54;30,29;36;53;55
CASSIOPEA;;;;;;;
Caph;b Cas;0;9;10,09;59;9;0,8
Shedir;a Cas;0;40;30,39;56;32;14,7
;g Cas;0;56;42,5;60;43;0,3
Ksora;d Cas;1;25;48,6;60;14;7,5
;é Cas;1;54;23,68;63;40;12,5
PERSEO;;;;;0;;
;e Per;2;50;41,79;55;53;43,9
;g Per;3;4;47,79;53;30;23,2
Mirfak;a Per;3;24;19,35;49;51;40,5
Algol;b Per;3;8;10,13;40;57;20,3
;r Per;3;5;10,5;38;50;25,9
;d Per;3;42;55,48;47;47;15,6
;é Per;3;57;51,22;40;0;37
Menkib;x Per;3;58;57,9;35;47;27,7
;z Per;3;54;7,92;31;53;1,2
Atik;o Per;3;44;19,13;32;17;17,8
