ARIES;;;;;;;;
Hamal ;a Ari;2;8;1,1;23;31;56,3;2
Sheratan ;b Ari;1;55;28;20;52;48,6;2,7
Mesarthin;g Ari;1;54;21,2;19;21;57,9;4,6
TAURO;;;;;;;;
Aderabán;a Tau;4;36;57,4;16;32;11,6;1
Elnath;b Tau;5;27;15,3;28;37;4,2;1,7
Alcyone;e Tau;3;48;23;24;8;56,9;2,9
;z Tau;5;38;33,3;21;8;52,9;4,3
Hyadum I;g Tau;4;20;39,2;15;39;37,5;3,6
Hyadum II;d Tau;4;23;48,4;17;34;27,8;3,7
Ain;é Tau;4;29;30;19;12;37,8;3,5
;th Tau ;4;43;9,4;22;58;57,4;
GÉMINIS;;;;;;;;
Póllux ;b Gem;7;46;16,1;27;59;11.1;1,1
Alhena ;g Gem;6;38;35,7;16;22;55,5;1,9
Castor A ;a Gem;7;35;34,8;31;51;8,9;1,9
Tejat Posterior;m Gem;6;23;53;22;30;8,8;2,9
Wasat;d Gem;7;21;2,4;21;57;1,9;3,5
Mekbuda ;z Gem;7;5;1,1;20;32;38,4;3,8
Mebsuta;é Gem;6;44;52,4;25;6;45,1;2,9
Propus;i Gem;7;26;40,9;27;45;53,7;3,8
CANCER;;;;;;;;
Al Tarf ;b Cnc;8;17;21,2;9;8;3;3,5
Assellus Australis ;d Cnc;8;45;33,8;18;5;43,8;3,9
Acubens; a Cnc;8;59;20;11;47;40,9;4,2
;i Cnc;8;47;37,8;28;42;5,1;4
Assellus Borealis;g Cnc;8;44;10,7;21;24;38,1;4,6
LEO;;;;;;;;
Regulus;a Leo;10;9;12,3;11;53;21;1,3
Denebola; b Leo;11;49;52;14;29;5,6;2,1
Zosma ;d Leo;11;14;56,1;20;26;17,5;2,5
Algeiba;g1 Leo;10;20;49,4;19;45;43,3;2,6
Chort ;th Leo;11;15;3,6;15;20;37,8;3,3
Adhafera ;z Leo;10;17;33,2;23;20;18,8;3,4
Ras Elased Borealis ;m Leo;9;53;38,9;25;55;57,4;3,9
Ras Elased Australis ;é Leo;9;46;43,9;23;42;4;2,9
VIRGO;;;;;;;;
Spica ;a Vir;13;26;1,4;-11;14;29,9;0,9
Vindemiatrix ;é Vir;13;2;57,7;10;52;31,5;2,8
Heze ;z Vir;13;25;29,9;0;-40;30;3,4
Auva ;d Vir;12;56;24,1;3;18;47,3;3,4
Zavijah; b Vir;11;51;30;1;40;38,4;3,6
LIBRA;;;;;;;;
Zubeneschamali;b Lib;15;17;51;9;26;17,5;2,6
Zuben Elgenubi;a Lib;14;51;44,9;-16;6;13,9;2,7
Brachium;s Lib;15;4;59,4;-25;20;23,3;3,3
Zuben Elakrab;g Lib;15;36;23,9;-14;50;19,8;3,9
SCORPIO;;;;;;;;
Antares;a Sco;16;30;21,7;-26;27;44,8;1,1
Acrab;b Sco;16;6;20,6;-19;50;41;2,6
Dschubba;d Sco;16;1;15,4;-22;39;44,9;2,3
;p Sco;15;59;49,8;-26;9;18,2;2,9
Alniyat;t Sco;16;36;51,1;-28;14;38,4;2,8
;é Sco;16;51;10,9;-34;18;55,9;2,3
;m Sco;16;53;23,3;-38;2;19,3;3,6
;e Sco;17;13;15,8;-43;15;9,3;3,3
Girtab;th Sco;17;38;25,6;-43;0;6,6;1,9
Shaula;l Sco;17;33;36,5;-37;6;13,8;1,6
SAGITARIO;;;;;;;;
Rukbat;a Sgr;19;24;56;-40;34;53,1;3,96
Kaus Australis;é Sgr;18;25;11,3;-34;22;19,1;1,8
Kaus Meridionalis;d Sgr;18;21;58,4;-29;49;1,5;2,7
Kaus Borealis;l Sgr;18;28;54,9;-25;24;30,8;2,8
Nunki;s Sgr;18;56;12,6;-26;16;12,9;2,1
Ascella;z Sgr;19;3;34,8;-29;51;14,4;2,6
Nash;g Sgr;18;6;47,7;-30;25;7,2;3,6
CAPRICORNIO;;;;;;;;
Deneb Algedi;d Cap;21;47;51,5;-16;3;41,2;2,8
Nashira;g Cap;21;40;54,9;-16;35;32;3,7
;z Cap;21;27;31,1;-22;20;37;3,8
Dabih;b Cap;20;21;51,4;-14;43;52,1;3,1
Secunda Giedi;a2 Cap;20;18;53,3;-12;29;44,5;3,6
ACUARIO;;;;;;;;
Sadalsuud;b Aqr;21;32;20,9;-5;30;12,7;2,9
Sadalmelik;a Aqr;22;6;33,2;0;-14;45,6;2,9
Skat;d Aqr;22;55;26,4;-15;44;23,3;3,2
Sadalachbia;g Aqr;22;22;25,6;-1;18;39,4;3,8
PISCIS;;;;;;;;
Alrisha;a Psc;2;2;49,1;2;50;1,6;3,8
Torcularis Septentrionalis;o Psc;1;46;11;9;13;51,5;4,3
;n Psc;1;42;12,6;5;33;41,1;4,4
;e Psc;1;32;17,1;15;25;17,2;3,6
;g Psc;23;17;55,6;3;21;50,7;3,7
