Aries;;
a Ari;b Ari;
b Ari;g Ari;
Tauro;;
a Tau;z Tau;
a Tau;é Tau;
a Tau;th Tau;
é Tau;b Tau;
é Tau;d Tau;
th Tau;g Tau;
d Tau;e Tau;
Géminis;;
a Gem;b Gem;
a Gem;é Gem;
a Gem;i Gem;
b Gem;d Gem;
b Gem;i Gem;
d Gem;z Gem;
z Gem;g Gem;
é Gem;m Gem;
Cancer;;
 a Cnc;d Cnc;
b Cnc;d Cnc;
d Cnc;g Cnc;
g Cnc;i Cnc;
Leo;;
a Leo;g1 Leo;
a Leo;th Leo;
th Leo; b Leo;
th Leo;d Leo;
d Leo;g1 Leo;
g1 Leo;z Leo;
z Leo;m Leo;
m Leo;é Leo;
Virgo;;
a Vir;z Vir;
z Vir;d Vir;
d Vir;é Vir;
d Vir; b Vir;
libra;;
a Lib;b Lib;
a Lib;s Lib;
b Lib;g Lib;
s Lib;g Lib;
SCORPIO;;
a Sco;b Sco;
a Sco;d Sco;
a Sco;p Sco;
a Sco;t Sco;
t Sco;é Sco;
é Sco;m Sco;
m Sco;e Sco;
e Sco;th Sco;
th Sco;l Sco;
Sagitario;;
z Sgr;l Sgr;
z Sgr;s Sgr;
z Sgr;d Sgr;
z Sgr;é Sgr;
é Sgr;d Sgr;
é Sgr;g Sgr;
d Sgr;l Sgr;
d Sgr;g Sgr;
Capricornio;;
a2 Cap;b Cap;
b Cap;g Cap;
g Cap;d Cap;
d Cap;z Cap;
Acuario;;
a Aqr;b Aqr;
a Aqr;g Aqr;
a Aqr;d Aqr;
Piscis;;
a Psc;_ Psc;
a Psc;n Psc;
o Psc;e Psc;
n Psc;g Psc;
;;
;;
