ARIES;;;;;;
Hamal (_ Ari);2;8;1,1;23;31;56,3
Sheratan (_ Ari);1;55;28;20;52;48,6
Mesarthin;1;54;21,2;19;21;57,9
TAURO;;;;;;
Aderabán;4;36;57,4;16;32;11,6
Elnath;5;27;15,3;28;37;4,2
Alcyone;3;48;23;24;8;56,9
_ Tau;5;38;33,3;21;8;52,9
Hyadum I;4;20;39,2;15;39;37,5
Hyadum II;4;23;48,4;17;34;27,8
Ain;4;29;30;19;12;37,8
_2 Tau 2;4;43;9,4;22;58;57,4
GÉMINIS;;;;;;
Póllux (_ Gem);7;46;16,1;27;59;11.1
Alhena (_ Gem);6;38;35,7;16;22;55,5
Castor A (_A Gem);7;35;34,8;31;51;8,9
Tejat Posterior (_ Gem);6;23;53;22;30;8,8
Wasat (_ Gem);7;21;2,4;21;57;1,9
Mekbuda (_ Gem);7;5;1,1;20;32;38,4
Mebsuta (_ Gem);6;44;52,4;25;6;45,1
Propus (i Gem);7;26;40,9;27;45;53,7
CANCER;;;;;;
Al Tarf (_ Cnc);8;17;21,2;9;8;3
Assellus Australis (_ Cnc);8;45;33,8;18;5;43,8
Acubens (_ Cnc);8;59;20;11;47;40,9
(i Cnc);8;47;37,8;28;42;5,1
Assellus Borealis (_ Cnc);;;;;;
LEO;;;;;;
Regulus (_ Leo);10;9;12,3;11;53;21
Denebola (_ Leo);11;49;52;14;29;5,6
Zosma (_ Leo);11;14;56,1;20;26;17,5
Algeiba (_1 Leo);10;20;49,4;19;45;43,3
Chort (_ Leo);11;15;3,6;15;20;37,8
Adhafera (_ Leo);10;17;33,2;23;20;18,8
Ras Elased Borealis (_ Leo);9;53;38,9;25;55;57,4
Ras Elased Australis (_ Leo);9;46;43,9;23;42;4
VIRGO;;;;;;
Spica (_ Vir);13;26;1,4;-11;14;29,9
Vindemiatrix (_ Vir);13;2;57,7;10;52;31,5
Heze (_ Vir);13;25;29,9;0;-40;30
Auva (_ Vir);12;56;24,1;3;18;47,3
Zavijah (_ Vir);11;51;30;1;40;38,4
